cons_id,COUNT(cons_action_id)
787,1
2930,1
2984,1
4285,1
4649,1
5441,1
6569,1
6722,1
7286,1
7769,1
8488,1
8997,1
11004,1
11792,1
12577,1
12599,1
12851,1
13189,1
15163,1
15933,1
16556,1
17773,1
18949,1
19034,1
20238,1
20587,1
21265,1
21436,1
21456,1
22102,1
22649,1
23584,1
25301,1
25578,1
26173,1
26420,1
26555,1
26838,1
26882,1
27167,1
28222,1
28334,1
30532,1
33254,1
34436,1
35616,1
35967,1
36042,1
36052,1
36361,1
36516,1
37288,1
38051,1
38099,1
38647,1
38738,1
39037,1
39154,1
39496,1
39512,1
39699,1
40139,1
40203,1
41205,1
42328,1
42522,1
42969,1
43096,1
45207,1
45979,1
46178,1
47493,1
47694,1
49816,1
50126,1
50999,1
51396,1
54191,1
54826,1
55519,1
56447,1
56686,1
56687,1
57821,1
59606,1
60758,1
61460,1
61461,1
61547,1
61746,1
62851,1
65064,1
66055,1
67508,1
67959,1
68647,1
68922,1
70993,1
71420,1
71827,1
73669,1
74090,1
76082,1
78767,1
82081,1
82271,1
83738,1
84044,1
85387,1
86042,1
86502,1
87174,1
87346,1
87606,1
87892,1
88322,1
88375,1
88400,1
89897,1
90728,1
91001,1
92536,1
93144,1
93206,1
93287,1
93718,1
93830,1
94265,1
94703,1
95662,1
96737,1
98123,1
98948,1
99118,1
101186,1
101385,1
102084,1
103354,1
103585,1
104066,1
105891,1
105952,1
106397,1
110606,1
110821,1
111549,1
113899,1
114417,1
115624,1
116871,1
117129,1
117559,1
118115,1
118293,1
118698,1
119497,1
120519,1
122890,1
124657,1
125623,1
126127,1
126172,1
127228,1
127500,1
128233,1
129447,1
130346,1
130466,1
133231,1
134439,1
135000,1
135009,1
137673,1
138705,1
138712,1
139174,1
141899,1
142281,1
145216,1
146002,1
146128,1
146502,1
146759,1
147182,1
148032,1
149156,1
150404,1
150577,1
151984,1
154139,1
154187,1
154373,1
154998,1
155270,1
155659,1
155997,1
156710,1
158049,1
159050,1
160024,1
160245,1
160332,1
161135,1
161478,1
163805,1
164043,1
165544,1
166904,1
167610,1
168103,1
168591,1
168934,1
169238,1
169399,1
169460,1
169564,1
170969,1
